transcript_stable_ID,Count...1,Count...2,Count...3,Count...4,Count...5
C01F1.3,257,1138,902,377,440
C01F1.4,1,9,10,2,4
C01F1.5,0,4,2,1,0
C01F1.6,381,379,320,91,542
C01F4.2,8,36,46,25,7
C01F6.1,733,635,531,243,845
C01F6.14,25,50,27,12,26
C01F6.2,44,79,87,129,96
C01F6.4,230,255,152,97,291
C01F6.5,500,2373,2429,1434,1024
C01F6.6,633,1584,1113,386,762
C01F6.8,243,381,392,327,299
C01F6.9,684,997,807,708,934
C01G10.1,2,6,7,5,2
C01G10.10,60,57,69,41,64
C01G10.11,349,540,361,219,388
C01G10.12,114,151,185,259,200
C01G10.14,0,0,4,3,0
C01G10.15,2,0,5,1,9
C01G10.16,4,22,12,6,14
C01G10.17,4,18,51,149,37
C01G10.18,0,0,0,0,2
C01G10.3,0,7,0,7,0
C01G10.4,0,1,6,26,2
C01G10.5,1,9,26,76,4
C01G10.6,0,2,9,7,6
C01G10.7,78,54,36,43,85
C01G10.8,1356,2663,2710,1446,1666
C01G10.9,82,244,111,95,154
C01G12.1,20,32,13,5,7
C01G12.10,2,7,5,3,2
C01G12.11,0,8,0,3,9
C01G12.13,1,0,0,0,0
C01G12.16,2,7,12,16,5
C01G12.2,0,0,0,2,0
C01G12.3,23,29,14,34,46
C01G12.5,2,3,3,1,275
C01G12.6,0,6,6,4,0
C01G12.7,7,9,2,3,4
C01G12.8,22,9,8,16,4
C01G12.9,3,0,0,3,0
C01G5.2,1157,819,682,678,1328
C01G5.3,2,0,4,1,1
C01G5.4,7,0,8,10,2
C01G5.5,263,250,268,268,387
C01G5.6,1014,1304,1081,937,1636
C01G5.7,0,9,1,0,2
C01G5.8,437,646,322,283,499
C01G5.9,14,28,45,36,19
C01G6.1,1025,5869,2043,419,1371
C01G6.2,22,37,46,29,20
C01G6.3,2477,5451,2149,1027,4488
C01G6.4,148,306,183,151,283
C01G6.5,683,934,1071,679,937
C01G6.6,1106,1244,1077,955,1082
C01G6.7,183,394,541,317,322
C01G6.8,639,1247,755,244,684
C01G6.9,4,10,13,11,3
C01G8.1,4704,4296,2797,2705,8925
C01G8.2,163,288,296,185,358
C01G8.3,325,470,423,246,500
C01G8.4,67,89,67,69,90
C01G8.5,919,1107,934,278,935
C01G8.6,197,331,252,248,371
C01G8.9,2998,7330,5872,3899,4972
C01H6.1,0,0,4,4,0
C01H6.2,57,158,148,153,70
C01H6.3,2,5,10,1,2
C01H6.4,17,23,28,46,40
C01H6.5,287,278,248,114,344
C01H6.6,198,222,184,126,204
C01H6.7,895,1209,655,354,1218
C01H6.8,15,44,27,26,24
C01H6.9,196,235,165,45,183
C02A12.1,69,25,28,27,62
C02A12.10,0,0,0,10,1
C02A12.2,0,0,0,1,0
