X,L4440_1,L4440_2,L4440_3,Y37A1B_5_1,Y37A1B_5_2,Y37A1B_5_3
WBGene00000509,2667,2609,2863,3046,3631,3577
WBGene00000510,61,67,52,58,87,88
WBGene00000511,142,151,168,137,175,147
WBGene00000512,552,567,630,572,708,760
WBGene00000513,5,1,2,4,5,2
WBGene00000514,340,350,331,337,405,409
WBGene00000515,241,296,266,311,402,353
WBGene00000516,570,709,700,354,534,546
WBGene00000517,2094,1945,2407,2383,2940,2236
WBGene00000518,66,75,69,59,78,69
WBGene00000519,3429,3589,3828,3366,4393,3298
WBGene00000520,3455,3612,3870,3621,4410,3657
WBGene00000521,9,17,4,5,7,2
WBGene00000522,773,760,964,867,1297,1248
WBGene00000523,132,134,148,119,152,135
WBGene00000524,58,48,54,36,56,52
WBGene00000525,0,2,2,2,2,7
WBGene00000526,142,174,167,126,155,160
WBGene00000527,1023,973,1176,1070,1399,1270
WBGene00000528,2292,2149,1973,1926,2409,1662
WBGene00000529,59,61,59,52,78,74
WBGene00000530,1317,1245,1434,1451,1596,1400
WBGene00000531,97,83,72,71,89,47
WBGene00000532,4175,4374,4700,4503,5772,5613
WBGene00000533,2517,2867,3076,2970,3613,3548
WBGene00000534,5575,5740,5844,5540,7582,7030
WBGene00000535,9828,9363,12465,12290,15013,18341
WBGene00000536,808,881,873,917,1179,1098
WBGene00000537,2734,2745,2935,2721,3500,2562
WBGene00000539,53,66,49,74,83,81
WBGene00000540,1024,1006,1117,1006,1353,1359
WBGene00000541,46,58,28,36,53,53
WBGene00000542,7424,7856,7457,6815,9121,6941
WBGene00000543,2589,2687,2718,2594,3331,2711
WBGene00000544,88,96,101,67,101,104
WBGene00000545,950,1030,1160,843,1057,994
WBGene00000546,77,75,72,82,95,76
WBGene00000547,3583,3731,3926,4117,4975,4573
WBGene00000548,6540,7030,7618,6503,8390,5985
WBGene00000549,3506,3622,3574,2997,4083,2465
WBGene00000550,9805,10587,10585,9842,12387,7774
WBGene00000551,15,6,21,5,13,17
WBGene00000552,13024,13608,13038,12357,16501,14087
WBGene00000553,95,134,106,73,117,95
WBGene00000554,944,1055,957,885,1297,1108
WBGene00000555,2,2,3,1,3,7
WBGene00000556,116,122,177,115,173,221
WBGene00000557,202,163,206,164,234,259
WBGene00000558,88,82,114,58,111,137
WBGene00000559,0,1,0,0,0,1
WBGene00000560,21,14,12,10,7,20
WBGene00000561,112,141,130,61,85,94
WBGene00000562,168,197,184,143,151,150
WBGene00000563,7,9,5,3,14,5
WBGene00000564,3831,3815,4147,4017,4988,4077
WBGene00000565,2208,2131,2383,2177,3029,2304
WBGene00000566,5013,5413,5534,4046,5512,5081
WBGene00000567,10206,10596,10812,9777,12477,10581
WBGene00000583,45,60,68,76,71,78
WBGene00000584,22,20,15,27,29,23
WBGene00000585,3270,3553,3917,3776,4686,4188
WBGene00000591,2206,2328,2399,1825,2280,1642
WBGene00000592,2168,2137,2524,2315,2909,1836
WBGene00000593,10,7,10,3,3,5
WBGene00000594,1109,1847,1445,623,1282,1418
WBGene00000596,8,17,29,6,26,15
WBGene00000597,386,590,637,861,1279,1388
WBGene00000598,4,4,4,2,4,2
WBGene00000599,984,1556,1183,472,904,1094
WBGene00000601,214,527,344,164,291,273
WBGene00000602,94,238,165,66,144,137
WBGene00000603,145,297,179,113,193,204
WBGene00000606,406,810,560,252,399,790
WBGene00000608,382,656,630,883,1359,882
WBGene00000609,144,615,350,361,962,590
WBGene00000610,6,25,14,7,17,18
WBGene00000611,39,56,47,38,64,75
WBGene00000612,1,0,0,0,0,0
WBGene00000613,0,3,2,0,2,2
WBGene00000614,0,1,0,0,0,0
WBGene00000615,86,136,143,110,132,137
WBGene00000616,230,417,357,111,282,241
WBGene00000617,1,3,3,2,4,5
WBGene00000618,225,426,291,121,255,448
WBGene00000620,95,79,146,143,203,190
WBGene00000621,3,2,2,0,0,3
WBGene00000622,6,10,12,5,17,9
WBGene00000623,12,8,13,12,19,24
WBGene00000624,1,8,3,2,0,8
WBGene00000625,73,134,79,62,89,100
WBGene00000626,7,27,19,37,17,28
WBGene00000627,1,2,2,0,3,1
WBGene00000628,1,1,1,0,0,1
WBGene00000629,0,2,3,0,2,4
WBGene00000630,29,29,30,27,40,39
WBGene00000631,47,78,44,15,34,69
WBGene00000632,0,1,1,0,1,0
WBGene00000633,5,15,6,3,0,7
WBGene00000634,23,41,28,13,29,27
WBGene00000636,25,71,50,29,64,21
WBGene00000637,2,6,8,2,3,3
WBGene00000638,13,15,37,10,37,19
WBGene00000639,28,7,30,27,22,54
WBGene00000640,39,63,45,26,48,43
WBGene00000641,123,181,105,70,128,98
WBGene00000642,8,7,2,2,2,4
WBGene00000644,55,80,81,50,84,106
WBGene00000645,4,8,7,5,10,12
WBGene00000646,41,37,51,62,103,82
WBGene00000647,94,128,131,131,144,173
WBGene00000648,1,2,4,2,0,4
WBGene00000649,324,637,451,233,297,638
WBGene00000650,265,333,170,184,232,90
WBGene00000651,1,5,1,2,1,1
WBGene00000652,372,424,330,250,374,299
WBGene00000653,167,429,196,136,232,160
WBGene00000654,1,0,0,0,0,0
WBGene00000655,3,10,12,5,4,15
WBGene00000656,211,446,385,364,881,600
WBGene00000657,58,171,197,97,275,80
WBGene00000658,16,12,10,13,19,7
WBGene00000659,8,17,12,3,10,9
WBGene00000660,4,3,8,2,2,9
WBGene00000661,18,23,15,15,29,28
WBGene00000662,1,3,1,1,5,2
WBGene00000663,15,108,49,45,84,3
WBGene00000664,10,19,17,10,19,19
WBGene00000665,225,527,353,115,208,495
WBGene00000666,44,160,78,31,66,65
WBGene00000667,338,648,432,172,486,354
WBGene00000668,431,960,666,298,786,552
WBGene00000669,336,700,521,240,593,404
WBGene00000670,2636,2404,2705,3004,4326,4052
WBGene00000671,42,47,56,49,67,81
WBGene00000672,134,237,159,107,170,139
WBGene00000673,336,594,439,277,661,617
WBGene00000674,818,899,885,412,602,691
