transcript_stable_ID,Nr01,Nr02,Nr03,Nr04,Nr05,Nr06,Nr07,Nr08,Nr09,Nr10,Nr11,Nr12
Y47H9A.1,0,0,0,0,0,0,0,0,0,0,0,0
Y47H9B.2,19,14,15,22,19,11,15,17,18,9,11,18
Y47H9C.1,457,290,249,230,463,239,378,436,378,192,211,446
Y47H9C.12,2,1,0,2,3,1,5,1,5,4,1,5
Y47H9C.8,1645,821,994,774,976,1013,983,1274,1003,879,693,1118
Y47H9C.9,10,2,5,2,9,4,6,5,4,4,5,8
Y48A5A.1,1048,605,601,527,544,637,640,825,592,447,354,719
Y48A5A.3a,798,274,508,436,562,317,361,333,541,441,600,426
Y48A6B.3,2381,1180,1410,1218,1506,1358,1313,1687,1352,1077,966,1455
Y48A6B.7,1209,390,753,625,916,475,630,638,928,691,1075,661
Y48A6B.8,4,1,5,2,4,3,1,6,3,2,2,8
Y48A6B.9a,343,156,223,208,322,199,225,277,316,253,319,313
Y48A6C.1,51,29,23,15,21,38,26,31,31,20,15,50
Y48A6C.4,898,503,508,409,489,642,509,734,464,400,369,642
Y48B6A.1,2959,1721,1661,1376,1650,1865,1771,2220,1735,1289,1019,1794
Y48B6A.10,322,154,172,173,212,196,198,234,184,181,139,215
Y48B6A.13a,145,81,70,59,77,95,82,108,64,64,45,79
Y48B6A.5,5,1,4,0,1,3,3,5,2,3,2,2
Y48C3A.1,0,0,0,0,3,1,1,1,0,0,0,0
Y48C3A.12,1227,751,735,524,599,901,774,1069,754,596,378,1015
Y48C3A.14a,2053,1123,1128,957,1189,1237,1261,1569,1155,909,708,1326
Y48C3A.18a,114,47,55,54,65,59,64,89,70,62,43,77
Y48C3A.20,732,383,391,332,401,477,443,584,487,414,294,538
Y48C3A.3,316,141,224,153,228,144,197,188,252,204,219,227
Y48C3A.5a,1,1,0,1,3,1,1,0,1,0,1,1
Y48D7A.1,12,9,7,9,6,17,7,15,6,8,10,9
Y48E1B.2a,70,48,39,38,34,47,38,58,39,30,18,51
Y48E1B.3a,761,419,473,372,493,462,510,582,479,324,342,552
Y48E1B.8,135,73,107,74,123,96,87,117,114,83,95,130
Y48E1C.1a,82,54,40,35,46,60,65,79,68,49,25,68
Y48E1C.2,999,556,620,482,585,655,634,822,627,561,397,683
Y48E1C.4a,94,42,52,41,53,47,52,50,47,60,57,37
Y48G10A.1,2410,1195,1390,1273,1551,1387,1424,1637,1499,1417,1225,1530
Y48G10A.2a,2244,989,1409,1333,1569,1166,1228,1617,1337,1592,1317,1343
Y48G10A.3,841,481,500,371,632,593,577,791,631,595,444,707
Y48G10A.4a,1364,722,702,585,708,895,857,1027,755,530,464,902
Y48G10A.6,27,11,20,12,26,8,9,11,20,8,24,16
Y48G1A.1,426,207,232,187,244,278,259,351,235,195,156,324
Y48G1A.2,2657,1345,1450,1553,1861,1476,1681,1860,1499,1543,1246,1661
Y48G1BL.5,32,20,16,29,20,26,26,26,18,19,21,22
Y48G1BL.7,12,4,7,8,5,4,9,6,7,7,12,7
Y48G1BM.6,2,1,0,2,1,0,0,0,2,0,0,1
Y48G1BM.7,0,0,0,0,1,0,0,0,1,1,0,0
Y48G1BM.8,71,22,23,27,34,27,38,40,34,27,27,28
Y48G1BR.1,29,20,27,11,26,28,39,64,38,36,29,56
Y48G1C.10a,232,141,121,101,124,143,116,185,127,96,84,171
Y48G1C.12,1070,554,611,545,603,667,710,821,577,653,454,746
Y48G1C.5,46,8,11,15,18,17,14,34,14,11,13,15
Y48G1C.6,218,61,108,103,139,92,103,99,139,103,149,101
Y48G1C.8a,1687,968,824,577,690,1120,923,1234,899,544,423,1153
Y48G1C.9,1141,491,689,569,745,557,591,746,714,711,581,652
Y48G8AL.10a,927,586,479,344,432,617,499,692,477,297,227,610
Y48G8AL.12,3,2,1,0,3,4,2,4,3,1,3,2
Y48G8AL.13a,2750,1174,1909,1391,2081,1539,1751,1957,2064,1561,1978,1869
Y48G8AL.15,477,196,266,266,321,229,268,282,283,252,289,291
Y48G8AL.5a,2230,1299,1230,1014,1353,1502,1429,1886,1370,993,786,1697
Y48G8AL.7,959,443,587,483,667,493,493,566,560,399,449,486
Y48G8AR.2,10,5,8,10,6,9,10,18,5,2,2,11
Y48G8AR.3,0,0,0,0,1,0,0,0,0,0,1,1
Y48G9A.11,506,303,260,274,280,322,348,409,303,209,183,323
Y48G9A.12,0,0,0,0,0,0,0,0,0,0,0,0
Y48G9A.6,13,3,7,7,5,6,2,7,4,4,5,1
Y48G9A.7,15,12,18,9,6,10,5,14,14,14,10,6
Y48G9A.9a,84,27,27,32,59,42,49,52,59,38,60,49
Y49A10A.2,615,272,430,303,445,314,361,469,502,412,471,521
Y49A3A.3,1244,509,803,778,792,565,611,790,726,879,698,743
Y49A3A.4,40,19,33,31,34,30,33,38,44,35,35,45
Y49E10.10,68,33,36,38,42,46,46,55,48,24,28,35
Y49E10.16a,2060,764,1292,1049,1571,885,1170,1209,1523,1399,1669,1230
Y49E10.18,1650,535,956,794,1214,625,910,940,1263,949,1488,963
Y49E10.21a,428,179,280,251,292,265,255,289,268,336,244,313
Y49E10.25,5,1,3,0,0,0,2,1,1,1,1,1
Y49E10.27,1,0,0,0,0,0,0,0,2,1,1,1
Y49E10.29,73,43,72,37,74,66,63,71,82,61,54,79
Y49F6A.5,55,32,28,29,21,24,35,34,23,21,10,27
Y49F6B.12,5,0,7,7,5,3,1,3,1,4,5,2
Y49F6B.13,4,1,1,3,2,1,1,1,1,0,3,2
Y49F6B.14,0,0,0,0,0,0,0,0,0,0,0,0
Y49F6B.2,1249,501,717,710,830,619,655,901,748,831,763,768
Y49F6B.6a,2,0,3,2,3,1,1,1,0,0,2,1
Y49F6B.8,5,3,2,0,3,2,0,8,3,5,2,3
Y49F6B.9a,4,3,2,0,1,2,3,4,1,3,1,3
Y49F6C.2,1,5,4,1,7,6,2,11,1,3,5,4
Y49F6C.6,0,0,0,1,0,0,0,0,0,0,0,0
Y49F6C.7,0,0,1,0,3,0,1,0,0,2,1,2
Y49F6C.8,905,364,516,536,637,414,450,552,486,580,524,499
Y49G5A.1,12,2,4,3,4,0,4,5,9,6,3,2
Y49G5B.1,889,510,472,398,470,614,593,738,500,308,236,604
Y4C6A.1,0,0,0,0,0,1,0,0,0,0,0,0
Y4C6A.3,2870,1185,1892,1900,2019,1328,1552,1916,1755,1962,1945,1782
Y4C6A.4,8,0,1,3,5,1,5,0,1,1,6,1
Y4C6B.1,2962,1768,1746,1478,1715,2133,1939,2636,1668,1371,983,2046
Y4C6B.2a,14,7,14,4,7,13,9,9,8,14,9,12
Y4C6B.3a,93,41,69,45,78,62,61,70,73,61,89,95
Y4C6B.4a,44,18,28,26,42,29,30,41,42,33,27,39
Y4C6B.5,400,189,279,223,278,251,244,340,344,293,259,303
Y4C6B.7a,801,205,515,433,530,310,343,396,539,421,658,445
Y50C1A.2,15,7,10,7,15,10,17,21,18,26,8,9
Y50D4A.1a,5,3,4,3,5,0,3,1,3,3,5,2
Y50D4A.3,1,0,0,0,0,0,1,1,0,1,1,1
Y50D4A.4a,1085,622,610,463,581,596,662,874,643,476,422,702
Y50D4A.5,496,168,294,264,378,214,212,219,375,274,426,275
Y50D4B.1a,10,8,5,5,3,8,2,4,4,8,4,5
Y50D4B.2a,50,26,30,18,34,33,34,26,16,36,27,33
Y50D4B.4a,96,58,85,61,74,70,58,100,60,101,71,100
