wormbase_gene,S01,S02,S03,S04,S05,S06,S07,S08
WBGene00022040,9,26,20,31,12,15,27,15
WBGene00022042,10756,17607,24023,19659,14737,16631,17178,13498
WBGene00022043,595,896,689,984,623,695,872,780
WBGene00022044,546,743,531,784,441,571,831,690
WBGene00022045,216,405,333,372,242,329,299,319
WBGene00022046,1827,3052,2767,3019,2128,2638,2658,2488
WBGene00022047,122,215,178,224,141,156,223,194
WBGene00022048,6531,11216,8842,11147,7602,9540,9764,9613
WBGene00022051,350,582,516,596,395,514,509,538
WBGene00022052,608,1070,830,1188,691,850,948,950
WBGene00022053,1203,2113,1840,2115,1335,1646,1752,1717
WBGene00022054,170,260,184,275,127,188,344,219
WBGene00022055,147,281,187,241,118,218,216,204
WBGene00022056,524,828,679,868,605,733,770,755
WBGene00022057,686,1181,1005,1247,818,1045,1033,991
WBGene00022059,1298,1893,1847,2275,1615,1698,1837,1620
WBGene00022060,127,252,198,255,148,163,153,175
WBGene00022061,1,0,0,0,1,0,0,0
WBGene00022062,7,9,3,7,0,6,3,2
WBGene00022063,18,38,29,31,23,31,45,36
WBGene00022064,1,2,1,3,3,6,8,4
WBGene00022066,0,0,1,0,0,0,0,0
WBGene00022067,372,593,262,584,348,487,633,522
WBGene00022069,9973,16339,13269,18017,11569,14065,14308,14918
WBGene00022070,1,4,2,4,1,4,1,1
WBGene00022071,1,1,1,4,0,4,6,0
WBGene00022072,453,716,600,730,518,622,855,749
WBGene00022073,45,72,59,81,48,66,87,51
WBGene00022074,1257,2071,1675,2054,1314,1738,1763,1581
WBGene00022075,637,1032,1037,1099,757,885,873,889
WBGene00022076,28,29,17,28,19,29,29,31
WBGene00022077,195,274,223,309,221,242,275,292
WBGene00022078,460,701,564,829,565,615,624,557
WBGene00022079,1,5,4,0,3,2,2,5
WBGene00022082,5,11,4,6,3,7,11,14
WBGene00022083,25,45,48,52,62,51,46,43
WBGene00022085,2,1,2,0,2,1,8,1
WBGene00022086,1,1,2,5,0,1,6,4
WBGene00022087,1053,1598,1209,1848,1146,1430,1658,1541
WBGene00022089,7465,13178,10597,13096,8840,10290,11529,11134
WBGene00022090,10,21,17,26,35,22,32,42
WBGene00022092,852,1373,1272,1578,981,1235,1263,1179
WBGene00022093,95,181,134,159,117,140,170,148
WBGene00022094,0,2,0,1,2,0,4,3
WBGene00022095,0,0,0,0,0,0,0,0
WBGene00022096,21,40,12,39,36,33,31,50
WBGene00022097,0,0,0,0,0,0,0,0
WBGene00022099,448,761,759,756,611,635,668,575
WBGene00022100,52,103,79,97,68,74,111,83
WBGene00022101,223,351,364,451,241,272,351,327
WBGene00022102,0,5,0,1,2,2,2,1
WBGene00022103,23,49,59,50,29,46,55,43
WBGene00022104,56,106,88,97,87,79,93,106
WBGene00022106,8,13,10,11,7,12,14,13
WBGene00022107,338,514,408,534,333,437,521,495
WBGene00022108,4,26,11,18,17,18,17,11
WBGene00022110,129,206,168,237,129,173,175,172
WBGene00022111,7,17,12,13,13,17,14,14
WBGene00022112,18,41,23,34,23,33,41,15
WBGene00022113,220,390,277,362,248,267,349,299
WBGene00022114,3908,6718,5738,6676,4595,5405,5470,5486
WBGene00022115,496,818,716,865,581,712,717,703
WBGene00022116,2,0,0,0,1,0,1,1
WBGene00022117,633,965,813,1024,670,845,991,866
WBGene00022118,317,468,438,541,317,392,461,409
WBGene00022119,4658,7382,5733,7659,4734,5999,6729,6446
WBGene00022121,975,1578,1090,1691,1005,1300,1449,1539
WBGene00022122,5209,9393,8667,9418,6966,8214,8026,8353
WBGene00022123,15,29,21,41,20,21,26,22
WBGene00022124,419,656,483,746,401,509,595,609
WBGene00022125,147,215,204,279,201,174,188,221
WBGene00022126,417,708,818,936,639,657,546,662
WBGene00022127,3679,6621,5529,6933,4350,5143,5600,5724
WBGene00022128,407,752,599,633,538,567,660,692
WBGene00022129,70,143,118,130,89,130,130,156
WBGene00022130,38,70,51,73,31,35,46,45
WBGene00022131,179,279,300,251,223,259,279,260
WBGene00022133,2,2,5,2,6,5,5,8
WBGene00022134,1785,2847,2360,3039,1882,2439,2669,2409
WBGene00022138,425,773,626,726,474,488,644,582
WBGene00022139,583,967,837,1025,854,949,859,705
WBGene00022140,14,25,24,25,12,19,20,17
WBGene00022141,1710,2673,2451,2857,1885,2279,2215,2286
WBGene00022142,0,3,1,1,0,4,3,1
WBGene00022143,2,7,2,2,4,5,3,2
WBGene00022144,183,384,316,348,273,274,320,279
WBGene00022145,5,13,0,5,4,8,7,12
WBGene00022146,246,328,140,262,132,234,521,383
WBGene00022147,1,0,0,0,0,1,1,1
WBGene00022148,1156,1805,1605,1890,1220,1471,1684,1535
WBGene00022149,714,1170,928,1280,786,1032,1195,999
WBGene00022150,616,1033,983,1144,746,940,844,920
WBGene00022152,503,791,492,896,500,625,758,729
WBGene00022153,643,1078,889,1061,680,842,978,859
WBGene00022154,21,37,15,30,25,24,26,27
WBGene00022155,9,21,14,9,11,19,27,16
WBGene00022156,1,0,4,0,0,0,1,1
WBGene00022157,5,5,2,6,11,6,15,12
WBGene00022158,38,56,67,85,47,91,65,79
WBGene00022159,642,1006,810,1120,569,774,895,945
WBGene00022160,38,81,57,81,61,61,71,53
WBGene00022161,0,32,16,16,16,63,48,48
WBGene00022162,1,8,6,4,8,8,20,12
WBGene00022163,1,1,2,1,2,2,2,1
WBGene00022165,5,13,6,12,6,4,8,10
WBGene00022166,480,749,573,868,504,662,771,730
WBGene00022167,808,1176,749,1271,678,901,1213,1108
WBGene00022168,551,907,769,965,605,713,793,735
WBGene00022169,1279,2222,1966,2307,1555,1896,1942,1905
WBGene00022170,4100,6976,6314,7280,5060,5752,5781,6040
WBGene00022171,90,186,152,194,125,164,147,165
WBGene00022172,375,559,376,592,324,438,583,498
WBGene00022173,227,301,208,350,153,277,341,308
WBGene00022174,715,990,655,988,565,703,1095,989
WBGene00022175,44,63,57,62,42,65,83,62
WBGene00022176,758,1216,1025,1238,863,1071,1193,1081
WBGene00022177,78,117,97,117,96,89,120,99
WBGene00022178,523,864,697,903,597,673,783,714
WBGene00022179,1,0,1,2,0,2,2,0
WBGene00022180,12,36,28,23,13,26,41,18
WBGene00022181,68,108,97,112,126,95,109,106
WBGene00022182,927,1458,1330,1492,986,1247,1270,1217
WBGene00022185,732,1149,738,1148,707,857,1050,997
WBGene00022188,447,701,520,767,508,576,686,637
WBGene00022189,0,1,0,0,1,0,0,0
WBGene00022190,42,59,51,63,42,50,76,62
WBGene00022191,90,138,137,158,93,122,136,139
WBGene00022192,1123,1817,1575,1987,1379,1601,1779,1491
WBGene00022193,777,1332,1073,1487,883,1089,1087,1081
WBGene00022194,305,552,368,544,357,464,479,462
WBGene00022195,577,923,612,949,580,747,783,811
WBGene00022196,30,93,71,78,54,74,87,77
WBGene00022197,25,20,22,24,21,21,44,40
WBGene00022198,81,126,76,106,71,87,180,126
WBGene00022199,1207,2234,1834,2173,1531,1776,1927,1892
WBGene00022200,583,931,591,906,520,674,1093,954
WBGene00022201,1319,2277,1761,2127,1554,1891,2261,2164
WBGene00022202,23,60,39,65,36,50,47,35
WBGene00022203,855,1488,1534,1589,1118,1339,1318,1306
WBGene00022204,22,24,18,30,14,18,28,28
WBGene00022205,72,133,98,128,86,107,141,135
WBGene00022206,320,458,287,452,254,349,476,481
WBGene00022207,0,0,0,2,0,0,0,0
WBGene00022209,0,1,2,0,1,0,0,0
WBGene00022210,0,0,0,0,0,0,0,0
WBGene00022211,134,240,151,216,154,192,216,229
WBGene00022212,83,103,106,126,62,74,106,122
WBGene00022213,1,5,0,4,0,2,0,0
WBGene00022214,3,7,6,1,6,3,1,8
WBGene00022215,1,4,0,6,4,0,5,4
WBGene00022216,1,0,0,0,1,0,0,0
WBGene00022217,1,0,0,0,0,1,0,0
WBGene00022218,0,2,0,6,6,0,6,3
WBGene00022219,150,268,242,291,186,249,274,284
WBGene00022221,38,83,67,69,52,70,53,54
WBGene00022222,74,115,75,106,71,103,93,97
WBGene00022223,8,14,0,0,2,2,10,7
WBGene00022224,0,0,3,2,0,2,3,0
WBGene00022225,5,12,6,11,6,9,11,9
WBGene00022227,132,260,208,263,138,222,218,209
WBGene00022228,2,11,3,1,5,4,6,2
WBGene00022229,0,0,0,0,0,0,0,0
WBGene00022230,8,15,8,9,7,8,15,10
WBGene00022231,113,165,96,194,116,142,240,170
WBGene00022232,671,1157,843,1278,735,872,989,899
WBGene00022233,697,971,637,1063,631,813,1033,902
WBGene00022235,8320,14355,12715,13975,9553,11367,12924,11309
WBGene00022236,14,13,16,22,13,21,25,39
WBGene00022237,60,67,58,108,29,77,76,73
WBGene00022240,21,25,17,29,17,18,37,29
WBGene00022242,17,26,16,24,15,12,20,32
WBGene00022243,0,2,0,0,0,0,1,1
WBGene00022244,1000,1695,1549,1681,1149,1325,1617,1353
WBGene00022245,5382,9203,6044,8166,4496,6184,8581,7402
WBGene00022246,125,199,135,206,101,140,173,142
WBGene00022247,11,15,5,15,5,7,22,20
WBGene00022248,103,121,81,150,79,91,248,145
WBGene00022249,5,7,4,8,8,8,6,4
WBGene00022250,137,206,164,261,154,176,276,194
WBGene00022251,533,860,725,918,565,747,812,752
WBGene00022252,212,290,204,286,136,195,415,249
WBGene00022253,1543,2552,2105,2711,1645,2119,2252,2179
WBGene00022254,31,40,22,46,20,17,45,40
WBGene00022255,0,0,0,0,2,2,6,0
WBGene00022256,0,0,0,1,0,0,2,0
WBGene00022257,5815,9586,7713,9882,6191,7611,7813,7923
WBGene00022258,32,41,42,56,31,33,33,35
WBGene00022259,108,215,146,194,149,155,204,159
WBGene00022260,165,230,181,218,156,219,208,239
WBGene00022261,30,37,20,44,26,25,18,33
WBGene00022262,23,37,30,41,27,37,61,27
WBGene00022263,4,3,1,4,2,0,1,3
WBGene00022264,0,0,0,0,0,1,0,0
WBGene00022265,43,74,45,55,28,49,83,46
WBGene00022266,0,0,0,0,0,0,0,0
WBGene00022267,1,4,2,2,0,3,3,4
WBGene00022268,857,1522,1306,1506,1037,1236,1288,1192
WBGene00022269,272,412,384,434,282,393,343,344
WBGene00022270,53,85,70,77,52,54,121,90
WBGene00022271,46,93,105,103,77,94,100,102
WBGene00022272,1,3,0,0,1,2,1,3
WBGene00022273,275,454,346,465,316,353,456,339
WBGene00022274,1,10,15,15,2,8,8,4
WBGene00022275,4,1,5,1,1,2,3,0
WBGene00022276,858,1531,1427,1597,1139,1296,1415,1404
WBGene00022277,370,602,430,642,334,488,518,545
WBGene00022278,1453,2225,1664,2387,1338,1801,2118,1941
WBGene00022279,242,404,292,420,224,308,513,365
WBGene00022280,412,682,540,741,457,520,585,579
WBGene00022281,270,413,307,376,277,310,394,354
WBGene00022282,1,0,0,3,3,1,1,5
WBGene00022283,10,18,16,29,10,16,25,21
WBGene00022284,49,76,45,86,53,67,74,66
WBGene00022285,18,16,6,20,8,17,14,19
WBGene00022286,2077,3884,3422,4079,2452,2985,2977,2976
WBGene00022287,1,9,12,7,6,5,11,6
WBGene00022288,1,6,5,4,3,3,1,2
WBGene00022289,1,1,5,6,2,1,3,2
WBGene00022291,0,0,0,5,0,7,0,0
WBGene00022292,201,379,375,433,262,270,324,273
WBGene00022295,13,10,3,3,6,1,3,2
WBGene00022296,1830,2889,2525,3167,1909,2418,2585,2583
WBGene00022297,446,821,648,746,535,629,736,673
WBGene00022298,18,36,36,29,28,26,23,27
WBGene00022300,742,1260,1093,1289,800,1015,1157,1090
WBGene00022301,1279,1550,1318,1604,1131,1362,2217,1667
WBGene00022302,14,26,17,17,15,22,17,21
WBGene00022303,2,4,0,0,5,3,2,0
WBGene00022306,883,1491,1201,1519,1047,1239,1286,1291
WBGene00022307,240,479,363,520,331,398,377,406
WBGene00022308,0,0,0,1,2,0,0,2
WBGene00022309,122,183,133,238,127,134,187,189
WBGene00022310,1269,2148,1809,2268,1411,1877,1944,1859
WBGene00022311,0,1,1,3,1,1,4,1
WBGene00022312,3,0,3,1,1,3,2,1
WBGene00022313,49,42,55,119,49,76,50,28
WBGene00022314,5,7,21,18,9,4,9,11
WBGene00022315,0,0,0,0,1,0,0,1
WBGene00022316,0,0,0,0,0,0,0,0
WBGene00022317,0,0,0,0,0,0,0,0
WBGene00022318,0,0,0,0,0,0,0,0
WBGene00022319,1,0,0,0,0,1,1,1
WBGene00022320,1,0,0,1,0,0,6,0
WBGene00022321,0,0,0,0,1,0,0,0
WBGene00022322,3,4,1,0,1,1,7,4
WBGene00022323,0,1,1,5,1,0,1,1
WBGene00022324,5,9,5,3,8,6,15,9
WBGene00022325,2,9,3,2,3,6,9,3
WBGene00022326,19,23,30,31,15,30,39,26
WBGene00022327,1,3,3,0,1,3,3,3
WBGene00022328,0,0,0,0,1,0,0,0
WBGene00022329,22,29,22,26,17,23,34,23
WBGene00022330,15,23,16,18,12,22,19,19
WBGene00022331,19,19,16,18,18,16,16,13
WBGene00022332,2,2,1,4,1,1,3,4
WBGene00022333,3,1,5,6,0,6,6,2
WBGene00022334,26,30,24,23,28,31,43,25
WBGene00022335,340,582,443,551,395,429,511,489
WBGene00022336,15012,27136,26632,27962,21065,24080,24089,24008
WBGene00022337,15,19,5,12,5,17,19,9
WBGene00022338,17,22,4,13,4,7,26,15
WBGene00022339,2,0,0,2,0,1,0,3
WBGene00022340,0,0,0,0,0,0,0,0
WBGene00022341,1,1,0,0,0,0,0,0
WBGene00022342,0,0,0,0,0,0,0,0
WBGene00022343,0,0,0,0,0,1,0,0
WBGene00022344,1,0,1,2,0,1,0,2
WBGene00022345,1,5,5,5,3,1,4,1
WBGene00022346,26,36,25,50,28,31,56,40
WBGene00022347,712,1186,1041,1233,846,999,946,965
WBGene00022348,939,1537,1339,1685,1141,1345,1298,1279
WBGene00022349,32,61,33,45,43,70,106,48
WBGene00022350,1367,2065,1611,2189,1342,1766,1792,1779
WBGene00022351,528,828,663,908,597,681,890,783
WBGene00022352,0,1,0,2,1,2,2,1
WBGene00022353,11,15,13,12,10,9,21,16
WBGene00022354,164,231,221,270,151,214,260,199
WBGene00022356,0,0,0,0,0,0,1,0
WBGene00022357,384,646,588,701,457,530,639,602
WBGene00022358,258,474,399,493,379,492,473,461
WBGene00022360,664,1063,759,1075,620,956,924,902
WBGene00022361,1144,1886,1338,1976,1147,1557,1614,1620
WBGene00022363,523,833,656,888,221,290,289,307
WBGene00022365,167,289,248,303,161,179,236,234
WBGene00022366,229,371,300,346,245,331,392,339
WBGene00022367,63,107,94,102,59,92,110,105
WBGene00022368,694,1097,853,1163,772,932,974,922
WBGene00022369,3081,5078,4172,5128,3316,4145,4820,3925
WBGene00022370,7,9,4,7,3,7,22,9
WBGene00022371,271,478,414,492,265,421,396,412
WBGene00022372,329,566,461,627,407,468,540,506
WBGene00022373,494,913,658,935,530,701,890,856
WBGene00022374,15,22,7,7,15,14,18,8
WBGene00022375,4,3,5,6,3,3,6,4
WBGene00022376,468,912,890,925,615,734,739,637
WBGene00022377,13,13,14,17,10,24,20,17
WBGene00022378,572,1158,847,1051,902,869,856,877
WBGene00022379,72,124,127,141,100,132,155,131
WBGene00022380,1280,2285,2097,2285,1546,1813,1935,1821
WBGene00022381,1150,2277,1976,2280,1561,1804,2110,1826
WBGene00022382,857,1205,883,1554,1077,1254,1101,1258
WBGene00022383,4,14,11,11,14,15,12,13
WBGene00022385,2,11,4,10,9,7,12,7
WBGene00022386,71,129,117,137,85,113,89,122
WBGene00022388,1408,2276,1991,2358,1540,1874,1910,1957
WBGene00022389,344,539,462,519,354,428,570,447
WBGene00022390,178,318,222,376,202,226,226,347
WBGene00022391,30,43,31,47,36,33,46,38
WBGene00022392,1,0,2,2,1,3,5,3
WBGene00022393,1541,2329,1496,2434,1312,1764,2741,2086
WBGene00022394,599,960,527,964,448,706,1053,915
WBGene00022395,1,0,0,0,0,1,1,0
WBGene00022396,9,25,11,11,15,13,20,21
WBGene00022397,16,21,16,25,11,22,21,23
WBGene00022398,480,686,441,674,401,468,695,657
WBGene00022399,633,976,594,981,505,730,1019,929
WBGene00022400,537,826,754,880,552,736,734,677
WBGene00022401,1269,2131,1713,2078,1417,1740,1952,1636
WBGene00022402,397,705,622,716,464,570,603,638
WBGene00022403,0,0,0,0,0,0,0,0
WBGene00022404,0,0,0,0,0,0,1,1
WBGene00022405,0,1,0,1,2,1,2,0
WBGene00022406,0,0,1,1,0,0,0,0
WBGene00022407,0,0,0,0,0,0,0,0
WBGene00022408,0,0,0,0,0,0,1,0
WBGene00022409,1,2,0,0,0,0,0,0
WBGene00022410,92,160,107,153,99,113,243,166
WBGene00022411,9,8,1,7,3,11,6,11
WBGene00022412,23,38,16,29,17,34,28,18
WBGene00022413,517,781,441,698,417,555,906,726
WBGene00022415,5,4,9,6,1,3,15,3
WBGene00022416,15,26,17,29,18,27,27,27
WBGene00022417,0,2,2,5,0,2,3,6
WBGene00022418,58,71,47,82,67,73,106,91
WBGene00022419,19,23,19,24,10,29,30,25
WBGene00022420,2342,3415,2124,3564,1902,2637,3405,3076
WBGene00022421,0,1,0,0,0,0,0,0
WBGene00022423,69,101,100,137,87,89,96,106
WBGene00022425,1823,2627,1494,2733,1465,2038,2773,2564
WBGene00022426,537,816,634,887,497,653,756,731
WBGene00022427,904,1533,1361,1553,1012,1344,1232,1245
WBGene00022428,183,251,183,254,182,195,287,213
WBGene00022429,0,0,0,0,0,0,0,4
WBGene00022431,2,12,2,10,3,9,7,9
WBGene00022432,1,3,4,0,0,0,0,0
WBGene00022433,1,0,0,0,1,0,0,0
WBGene00022434,681,1107,939,1179,691,991,1147,1009
WBGene00022435,24,50,36,40,22,38,37,38
WBGene00022438,0,0,0,0,0,0,0,0
WBGene00022439,1,1,0,3,0,0,2,1
WBGene00022440,7,20,22,29,10,11,7,8
WBGene00022441,9,7,7,10,8,8,7,9
WBGene00022442,0,0,0,0,0,0,0,0
WBGene00022443,0,0,0,0,0,0,0,1
WBGene00022444,0,0,0,0,0,0,0,3
WBGene00022445,15,33,31,33,13,15,18,16
WBGene00022446,1,2,0,2,0,3,0,0
WBGene00022447,149,247,188,301,167,235,270,250
WBGene00022448,628,997,931,1085,714,866,912,807
WBGene00022449,214,387,344,415,300,319,259,344
WBGene00022450,222,357,269,380,238,289,351,349
WBGene00022452,1516,2438,1918,2379,1591,1921,2057,2008
WBGene00022453,330,615,550,681,379,472,576,515
WBGene00022454,0,1,2,1,2,1,2,4
WBGene00022455,825,1310,937,1398,813,1091,1220,1058
WBGene00022456,2180,3311,2146,3411,1759,2441,3296,2914
WBGene00022457,190,303,188,281,172,236,269,249
WBGene00022458,2035,3160,2643,3362,2034,2684,3015,2753
WBGene00022459,1447,2103,1362,2230,1240,1692,2280,1786
WBGene00022460,313,498,358,520,302,362,522,452
WBGene00022462,672,1094,737,1183,721,1070,916,920
WBGene00022463,1399,1991,1161,1989,1056,1426,2188,1857
WBGene00022465,1,2,2,1,1,2,2,0
WBGene00022466,809,1375,857,1431,798,1054,1222,1120
WBGene00022467,2,2,0,7,7,6,6,8
WBGene00022469,4,10,4,7,2,3,7,5
WBGene00022470,486,751,689,834,554,630,812,683
WBGene00022471,469,726,474,718,458,605,808,670
WBGene00022472,4,19,11,17,8,7,17,13
WBGene00022473,1532,2453,2106,2563,1834,2154,2350,2083
WBGene00022474,112,178,102,130,81,115,169,165
WBGene00022475,109,153,92,147,107,91,204,151
WBGene00022476,0,0,0,0,0,1,0,0
WBGene00022477,0,0,0,0,0,0,0,0
WBGene00022478,0,2,0,3,2,0,4,0
WBGene00022479,1,1,1,1,1,1,4,3
WBGene00022482,1,1,2,3,1,0,0,5
WBGene00022483,0,0,0,0,0,0,0,0
WBGene00022484,5,15,15,19,7,12,27,22
WBGene00022485,8,5,7,4,3,5,21,9
WBGene00022486,9,19,9,13,10,7,26,13
WBGene00022487,2,15,5,11,5,3,14,4
WBGene00022488,840,1392,1098,1438,846,1122,1350,1210
WBGene00022489,712,1139,1118,1218,859,1019,1108,1021
WBGene00022490,209,353,284,389,248,274,311,278
WBGene00022491,545,946,841,968,604,794,780,834
WBGene00022492,1460,2400,2301,2501,1706,1999,2212,1954
WBGene00022493,548,861,730,950,605,748,763,834
WBGene00022494,5,13,16,4,5,5,10,4
WBGene00022495,0,20,0,0,0,0,28,0
WBGene00022496,9,8,2,21,9,19,17,25
WBGene00022497,1729,2887,2637,2823,2062,2547,2819,2485
WBGene00022498,1,18,10,7,10,7,15,9
WBGene00022499,49,92,74,91,68,93,117,117
WBGene00022500,2819,4724,3734,4961,3788,4828,5263,4998
WBGene00022501,221,396,320,415,294,336,310,313
WBGene00022502,139,254,159,235,143,172,258,213
WBGene00022503,4,4,2,3,1,4,6,2
WBGene00022504,1,5,6,3,1,4,4,7
WBGene00022505,144,242,161,241,167,182,274,219
WBGene00022506,2,4,2,2,0,0,4,4
WBGene00022507,0,0,0,1,0,1,2,1
WBGene00022508,163,337,303,308,217,251,263,259
WBGene00022509,0,0,0,0,0,0,0,0
WBGene00022511,0,0,0,0,0,0,0,1
WBGene00022512,30,47,45,53,26,40,42,43
WBGene00022515,321,529,423,536,347,414,456,441
WBGene00022516,658,998,649,1059,630,851,1021,854
WBGene00022517,2,16,9,9,9,8,13,6
WBGene00022518,303,523,443,542,395,454,446,502
WBGene00022519,44,90,63,108,67,76,98,92
WBGene00022521,0,0,0,0,0,0,0,0
WBGene00022522,2,2,0,0,1,3,7,0
WBGene00022523,3,7,3,2,1,9,11,7
WBGene00022526,0,0,0,0,0,0,0,0
WBGene00022527,0,2,0,0,0,1,0,0
WBGene00022528,1,2,1,0,0,0,3,0
WBGene00022529,1,3,0,2,0,0,1,1
WBGene00022530,1,1,0,1,0,2,3,1
WBGene00022531,1481,2406,1700,2519,1433,2032,2192,2123
WBGene00022532,937,1340,874,1372,718,962,1668,1248
WBGene00022533,0,3,1,2,2,3,4,6
WBGene00022534,638,1046,718,1062,593,801,1004,837
WBGene00022535,0,0,0,2,0,1,0,3
WBGene00022536,0,0,0,0,0,0,0,2
WBGene00022537,2,1,0,0,0,0,2,0
WBGene00022538,48,68,36,41,23,61,72,65
WBGene00022539,0,0,0,1,0,0,2,0
WBGene00022540,0,1,0,1,0,1,3,0
WBGene00022541,1,2,1,0,2,2,1,1
WBGene00022542,0,0,0,1,1,1,2,4
WBGene00022543,0,8,3,0,0,1,2,5
WBGene00022544,1,0,0,4,6,3,3,1
WBGene00022545,1,0,0,0,1,2,3,0
WBGene00022546,7,11,6,12,10,15,15,12
WBGene00022547,0,1,1,1,0,0,2,1
WBGene00022548,6,8,8,15,6,7,8,12
WBGene00022549,29,55,42,57,25,42,69,34
WBGene00022550,2,2,0,1,0,0,2,3
WBGene00022551,0,0,0,0,0,0,1,0
WBGene00022552,0,0,0,0,0,1,0,0
WBGene00022553,0,0,0,0,0,0,0,1
WBGene00022554,185,350,306,368,263,283,296,249
WBGene00022555,10,9,7,10,6,7,14,6
WBGene00022556,0,0,0,0,0,0,0,0
WBGene00022557,7,21,15,22,16,32,30,18
WBGene00022558,1,5,0,2,1,2,3,3
WBGene00022559,11,15,14,23,10,20,23,25
WBGene00022560,2,2,0,3,0,0,3,0
WBGene00022561,5,8,7,9,6,8,12,8
WBGene00022562,19,30,19,23,16,16,29,23
WBGene00022563,0,0,0,0,0,0,0,0
WBGene00022564,40,50,38,60,21,30,49,36
WBGene00022565,0,0,0,0,0,0,0,0
WBGene00022566,0,1,0,2,0,0,3,4
WBGene00022567,0,3,0,1,4,2,2,1
WBGene00022568,1,2,4,4,3,3,10,3
WBGene00022569,45,72,59,72,54,56,80,74
WBGene00022570,0,2,0,0,1,2,1,2
WBGene00022571,3,5,2,2,1,1,4,4
WBGene00022572,2,5,7,8,4,1,10,2
WBGene00022573,5,13,4,11,7,7,18,19
WBGene00022574,11,21,12,11,16,13,23,16
WBGene00022575,0,1,1,1,0,1,0,0
WBGene00022576,26,44,32,36,31,47,61,38
WBGene00022577,0,0,0,0,1,1,1,0
WBGene00022578,0,0,0,0,0,0,0,1
WBGene00022579,778,1429,1237,1457,946,1124,1247,1050
WBGene00022580,1545,2121,1385,2145,1284,1479,3089,2015
WBGene00022581,4,1,1,4,0,2,5,3
WBGene00022582,215,441,450,455,323,383,407,338
WBGene00022583,590,1032,710,1082,569,809,1021,862
WBGene00022584,154,197,154,225,144,214,185,171
WBGene00022586,1342,1798,939,1819,903,1139,2209,1786
WBGene00022587,4,14,5,5,0,3,4,11
WBGene00022588,0,1,2,2,0,1,3,2
WBGene00022589,7,22,5,31,20,9,25,19
WBGene00022590,225,337,257,280,199,307,363,338
WBGene00022591,7,3,2,4,1,4,13,4
WBGene00022592,52,78,51,77,57,49,90,67
WBGene00022593,235,378,243,370,248,328,370,278
WBGene00022594,3,4,3,5,0,2,8,2
WBGene00022596,0,5,0,1,1,2,6,3
WBGene00022597,58,75,56,54,48,59,75,63
WBGene00022598,1561,2300,1577,2501,1382,1849,2250,2000
WBGene00022599,6596,11419,10879,11400,8368,9509,9419,8833
WBGene00022600,0,0,0,0,0,0,0,0
WBGene00022601,9,6,9,4,7,5,6,5
WBGene00022602,0,0,0,0,0,0,0,0
WBGene00022603,1399,1956,1376,2145,1222,1601,2010,1918
WBGene00022604,0,0,0,0,0,0,0,0
WBGene00022605,0,0,0,3,1,1,1,1
WBGene00022606,0,0,0,0,0,0,0,0
WBGene00022608,37,78,75,70,52,57,71,65
WBGene00022609,12,36,27,40,29,44,31,24
WBGene00022610,814,1492,1104,1483,1002,1054,1380,1367
WBGene00022611,1,1,4,0,2,1,5,1
WBGene00022612,6,16,4,13,6,9,23,17
WBGene00022613,233,450,324,429,274,372,401,356
WBGene00022614,16,20,20,17,13,19,48,28
WBGene00022615,193,329,328,352,272,332,333,302
WBGene00022616,0,0,0,0,0,0,0,0
WBGene00022617,0,1,2,0,1,0,4,2
WBGene00022618,1085,1642,1315,1720,1069,1255,1833,1364
WBGene00022619,0,0,0,0,0,0,0,0
WBGene00022620,711,1007,611,1014,579,777,1135,855
WBGene00022621,3,20,12,11,25,16,22,29
WBGene00022622,0,0,0,1,3,2,2,0
WBGene00022623,10,18,4,19,9,10,22,16
WBGene00022624,0,0,0,0,0,1,0,0
WBGene00022625,0,0,0,0,0,0,0,0
WBGene00022626,7,3,6,4,1,0,7,4
WBGene00022627,0,0,0,2,0,0,1,0
WBGene00022628,0,3,1,2,2,2,4,2
WBGene00022629,751,1037,540,975,465,731,1444,1017
WBGene00022630,0,1,1,0,1,1,0,0
WBGene00022631,91,135,83,139,83,110,176,94
WBGene00022632,4,4,2,2,4,4,6,11
WBGene00022633,146,235,168,249,142,190,333,241
WBGene00022634,1,8,5,4,4,5,6,4
WBGene00022635,39,45,33,43,27,39,72,47
WBGene00022636,0,0,0,0,0,0,0,0
WBGene00022637,0,0,0,0,0,0,0,0
WBGene00022638,6,7,5,4,7,5,7,5
WBGene00022639,2,1,3,0,3,2,3,0
WBGene00022640,0,0,0,0,0,0,0,0
WBGene00022641,29,54,36,57,26,43,40,27
WBGene00022642,884,1506,1238,1570,1150,1403,1477,1448
WBGene00022643,76,156,87,192,120,167,191,150
WBGene00022644,359,696,449,651,483,674,752,869
WBGene00022645,1353,2153,1222,2280,1393,1971,2796,2363
WBGene00022646,1068,1745,1235,1813,1069,1401,1770,1602
WBGene00022647,93,130,107,136,99,133,144,134
WBGene00022648,8,1,6,9,5,6,6,7
WBGene00022649,39,83,72,66,71,56,78,61
WBGene00022650,2,9,7,15,3,8,14,17
WBGene00022651,0,3,0,0,0,0,4,0
WBGene00022652,5,3,6,4,12,4,17,8
WBGene00022653,609,754,351,781,409,550,1321,897
WBGene00022654,0,0,0,0,0,0,1,1
WBGene00022655,1,0,0,0,1,0,1,2
WBGene00022656,0,1,0,0,0,0,0,0
WBGene00022657,12,21,9,12,3,8,11,10
