wormbase_gene,Nr35.counts,Nr36.counts,Nr37.counts,Nr38.counts
WBGene00044333,1,0,0,1
WBGene00007244,76,92,56,89
WBGene00007245,4,4,2,5
WBGene00007247,14,13,13,12
WBGene00007249,1,2,2,1
WBGene00015305,0,0,0,2
WBGene00015306,0,1,3,0
WBGene00015307,739,633,569,701
WBGene00015309,4,4,3,6
WBGene00015311,175,108,132,157
WBGene00007224,9,9,9,10
WBGene00007225,8138,7707,7545,8239
WBGene00007226,1482,1384,1319,1573
WBGene00007227,10875,9970,8938,11040
WBGene00007229,230,182,173,156
WBGene00015312,14865,14535,14875,16326
WBGene00007253,19,15,14,15
WBGene00007254,272,218,170,220
WBGene00007257,409,325,367,332
WBGene00015328,1526,1265,1193,1246
WBGene00015329,3837,3692,3596,4158
WBGene00015330,2906,3006,2964,3277
WBGene00015331,0,0,0,0
WBGene00007259,0,2,0,1
WBGene00015320,12,9,11,9
WBGene00015322,36,28,32,31
WBGene00015324,599,494,482,522
WBGene00015325,0,0,0,0
WBGene00015336,498,480,455,420
WBGene00015342,2,0,2,0
WBGene00015339,256,211,203,414
WBGene00015340,150,130,151,144
WBGene00015341,0,1,0,1
WBGene00015355,1790,1614,1603,1729
WBGene00015357,1027,976,934,1066
WBGene00015358,4,5,6,1
WBGene00007264,88,65,86,80
WBGene00007265,0,0,0,1
WBGene00015351,37,25,23,26
WBGene00015352,467,389,328,387
WBGene00015353,687,646,576,695
WBGene00044445,149,116,124,142
WBGene00015345,6,6,1,8
WBGene00015346,2395,2139,2054,2303
WBGene00015348,4,5,1,1
WBGene00044803,16,6,8,12
WBGene00015361,2,2,0,2
WBGene00007266,829,759,738,732
WBGene00007267,1624,1456,1482,1735
WBGene00007268,14,14,15,7
WBGene00015371,35,35,23,36
WBGene00015372,3,2,2,1
WBGene00015380,2,5,1,4
WBGene00015381,204,192,207,217
WBGene00015382,101,96,82,89
WBGene00015373,1,7,5,6
WBGene00015374,0,0,1,0
WBGene00015375,3,2,0,0
WBGene00015376,13,17,8,15
WBGene00015377,4,6,3,4
WBGene00015378,450,398,347,438
WBGene00015379,0,0,0,0
WBGene00015385,18,16,15,9
WBGene00015386,4,2,0,1
WBGene00007269,21,28,20,29
WBGene00007271,74,75,68,91
WBGene00007273,6,4,7,3
WBGene00007274,4,2,4,2
WBGene00007275,1616,1538,1530,1837
WBGene00007279,1,0,0,0
WBGene00007281,28,21,27,18
WBGene00015388,13,15,16,15
WBGene00015390,151,154,115,145
WBGene00015402,103,73,81,85
WBGene00015393,20,25,19,15
